Sr.No,District,Taluka,College Name,University,College Type,Course Name,Course Type,Is Professional,Course (Aided / Unaided),Course Duration (In months),Course Category
1,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Master of Engineering (M. E.) - Computer Science and Engineering,Post Graduate Course,Professional Course,Aided,24,Engineering
2,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Master of Engineering (M. E.) - Electrical Power System,Post Graduate Course,Professional Course,Aided,24,Engineering
3,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Master of Engineering (M. E.) - Thermal Power Engineering,Post Graduate Course,Professional Course,Aided,24,Engineering
4,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Bachelor of Engineering (B. E.) - Information Technology,Under Graduate Course,Professional Course,Aided,48,Engineering
5,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Bachelor of Engineering (B. E.) - Electrical Engineering,Under Graduate Course,Professional Course,Aided,48,Engineering
6,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Bachelor of Engineering (B. E.) - Instrumentation Engineering,Under Graduate Course,Professional Course,Aided,48,Engineering
7,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Master of Engineering (M. E.) - Geo Technical Engineering,Post Graduate Course,Professional Course,Aided,24,Engineering
8,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Master of Engineering (M. E.) - Production Engineering,Post Graduate Course,Professional Course,Aided,24,Engineering
9,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Bachelor of Engineering (B. E.) - Electronics and Telecommunication Engg,Under Graduate Course,Professional Course,Aided,48,Engineering
10,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Master of Engineering (M. E.) - Environmental Engineering,Post Graduate Course,Professional Course,Aided,24,Engineering
11,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Master of Engineering (M. E.) - Advanced Electronics,Post Graduate Course,Professional Course,Aided,24,Engineering
12,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Master of Engineering (M. E.) - Electrical and Power Engineering,Post Graduate Course,Professional Course,Aided,24,Engineering
13,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Master of Engineering (M. E.) - Electronic System and Communication,Post Graduate Course,Professional Course,Aided,24,Engineering
14,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Bachelor of Engineering (B. E.) - Computer Science and Engineering,Under Graduate Course,Professional Course,Aided,48,Engineering
15,Amravati,Amravati,"Government College of Engineering, Amravati",DEEMED UNIVERSITY,Government,Post H.S.C. Diploma in H.M.C.T. - Hotel Management and Catering Technology,Diploma Course,Professional Course,UnAided,36,Hotel Management and Catering
16,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Master of Engineering (M. E.) - Structural Engineering,Post Graduate Course,Professional Course,Aided,24,Engineering
17,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Bachelor of Engineering (B. E.) - Civil Engineering,Under Graduate Course,Professional Course,Aided,48,Engineering
18,Amravati,Amravati,"Government College of Engineering, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Bachelor of Engineering (B. E.) - Mechanical Engineering,Under Graduate Course,Professional Course,Aided,48,Engineering
19,Amravati,Amravati,"Government College of Pharmacy, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Master of Pharmacy - Pharmacognosy and Physochemistry,Post Graduate Course,Professional Course,UnAided,24,Pharmacy
20,Amravati,Amravati,"Government College of Pharmacy, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Master of Pharmacy - Quality Assurance,Post Graduate Course,Professional Course,UnAided,24,Pharmacy
21,Amravati,Amravati,"Government College of Pharmacy, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Bachelor of Pharmacy - Pharmacy,Under Graduate Course,Professional Course,UnAided,48,Pharmacy
22,Amravati,Amravati,"Government College of Pharmacy, Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,Government,Pharma D - Pharm D ( Doctor of Pharmacy),Post Graduate Course,Professional Course,UnAided,72,Pharmacy
23,Amravati,Amravati,"Sant Gadge Baba Amravati University,Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,University Department,Master of Engineering (M. E.) - Computer Science and Information Technology,Post Graduate Course,Professional Course,Aided,24,Engineering
24,Amravati,Amravati,"Sant Gadge Baba Amravati University,Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,University Department,Bachelor of Technology (B. Tech.) - Chemical Technology,Under Graduate Course,Professional Course,Aided,48,Engineering
25,Amravati,Amravati,"Sant Gadge Baba Amravati University,Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,University Department,M. B. A.,Post Graduate Course,Professional Course,Aided,24,Management
26,Amravati,Amravati,"Sant Gadge Baba Amravati University,Amravati",SANT GADGE BABA AMRAVATI UNIVERSITY,University Department,Master in Computer Application,Post Graduate Course,Professional Course,Aided,36,MCA
27,Akola,Murtijapur,"Government Polytechnic, Murtijapur","MAHARASHTRA STATE BOARD OF TECHNICAL EDUCATION, MUMBAI",Government,Post S.S.C. Diploma in Engineering (Polytechnics) - Computer Engineering,Diploma Course,Professional Course,Aided,36,Engineering
28,Akola,Murtijapur,"Government Polytechnic, Murtijapur","MAHARASHTRA STATE BOARD OF TECHNICAL EDUCATION, MUMBAI",Government,Post S.S.C. Diploma in Engineering (Polytechnics) - Information Technology,Diploma Course,Professional Course,Aided,36,Engineering
29,Akola,Murtijapur,"Government Polytechnic, Murtijapur","MAHARASHTRA STATE BOARD OF TECHNICAL EDUCATION, MUMBAI",Government,Post S.S.C. Diploma in Engineering (Polytechnics) - Electrical Engineering,Diploma Course,Professional Course,Aided,36,Engineering
30,Akola,Murtijapur,"Government Polytechnic, Murtijapur","MAHARASHTRA STATE BOARD OF TECHNICAL EDUCATION, MUMBAI",Government,Post S.S.C. Diploma in Engineering (Polytechnics) - Mechanical Engineering,Diploma Course,Professional Course,Aided,36,Engineering
31,Amravati,Amravati,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati","MAHARASHTRA STATE BOARD OF TECHNICAL EDUCATION, MUMBAI",Government-Aided,Post S.S.C. Diploma in Engineering (Polytechnics) - Computer Engineering,Diploma Course,Professional Course,UnAided,36,Engineering
