Institute Code,Institute Name,Course Code,Branch / Course,Seat Type,Merit No.,MHT-CET Percentile,Percentile Band,Round,Year
3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",301224510,Computer Engineering,GOPENS,103,99.9522882,,CAP Round I,2025
16006,COEP Technological University,1600624210,Computer Science and Engineering,GOPENS,243,99.8985029,,CAP Round I,2025
3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",321524210,Computer Science and Engineering,GOPENS,504,99.8014629,,CAP Round I,2025
6271,Pune Institute of Computer Technology,627124510,Computer Engineering,GOPENS,791,99.7116474,,CAP Round I,2025
3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",319924510,Computer Engineering,GOPENS,1584,99.486004,,CAP Round I,2025
6007,"Walchand College of Engineering, Sangli",600724210,Computer Science and Engineering,GOPENS,1766,99.4348894,,CAP Round I,2025
6273,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",627324510,Computer Engineering,GOPENS,3505,98.9469989,,CAP Round I,2025
3182,"Thadomal Shahani Engineering College, Bandra, Mumbai",318224510,Computer Engineering,GOPENH,3583,98.9251126,,CAP Round I,2025
6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",617524510,Computer Engineering,GOPENS,3584,98.9251126,,CAP Round I,2025
3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",318524510,Computer Engineering,GOPENS,5602,98.3694715,,CAP Round I,2025
6274,"PVG's College of Engineering, Technology & Management",627424510,Computer Engineering,GOPENS,7676,97.7924183,,CAP Round I,2025
6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",627224510,Computer Engineering,GOPENS,7698,97.7821243,,CAP Round I,2025
3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",318424510,Computer Engineering,GOPENS,7927,97.7282912,,CAP Round I,2025
6005,"Government College of Engineering, Karad",600524610,Information Technology,GOPENS,8518,97.5490028,,CAP Round I,2025
3139,"Vidyalankar Institute of Technology,Wadala, Mumbai",313924510,Computer Engineering,GOPENS,8692,97.5051096,,CAP Round I,2025
2008,"Government College of Engineering, Chhatrapati Sambhajinagar",200824210,Computer Science and Engineering,GOPENS,8780,97.488382,,CAP Round I,2025
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,GOPENS,9196,97.3737374,,CAP Round I,2025
6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",627824510,Computer Engineering,GOPENS,10020,97.1220006,,CAP Round I,2025
6822,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",682224510,Computer Engineering,GOPENS,10473,96.9871419,,CAP Round I,2025
3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",317624510,Computer Engineering,GOPENS,10514,96.9753065,,CAP Round I,2025
6754,"International Institute of Information Technology (I²IT), Pune.",675424510,Computer Engineering,GOPENS,10532,96.9753065,,CAP Round I,2025
3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",319724510,Computer Engineering,GOPENS,10570,96.972028,,CAP Round I,2025
6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",614124510,Computer Engineering,GOPENS,10568,96.972028,,CAP Round I,2025
6282,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",628224510,Computer Engineering,GOPENS,11271,96.7783105,,CAP Round I,2025
4025,"Government College of Engineering, Nagpur",402524210,Computer Science and Engineering,GOPENH,11471,96.6904701,,CAP Round I,2025
6207,"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",620724510,Computer Engineering,GOPENH,11516,96.684051,,CAP Round I,2025
2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",202024210,Computer Science and Engineering,GOPENS,12480,96.4091902,,CAP Round I,2025
6146,"MIT Academy of Engineering,Alandi, Pune",614624510,Computer Engineering,GOPENS,13453,96.1512986,,CAP Round I,2025
5121,"K. K. Wagh Institute of Engineering Education and Research, Nashik",512124510,Computer Engineering,GOPENS,14282,95.8806117,,CAP Round I,2025
6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",615624510,Computer Engineering,GOPENS,14711,95.7809758,,CAP Round I,2025
3135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",313524510,Computer Engineering,GOPENH,14852,95.7427005,,CAP Round I,2025
6267,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",626724210,Computer Science and Engineering,GOPENS,15210,95.6308893,,CAP Round I,2025
6139,"Progressive Education Society's Modern College of Engineering, Pune",613924510,Computer Engineering,GOPENS,15515,95.5703402,,CAP Round I,2025
3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",321124510,Computer Engineering,GOPENS,15568,95.5372663,,CAP Round I,2025
3208,"Don Bosco Institute of Technology, Mumbai",320824510,Computer Engineering,GOPENS,15788,95.4290064,,CAP Round I,2025
6004,"Government College of Engineering & Research, Avasari Khurd",600424510,Computer Engineering,GOPENH,16217,95.3167947,,CAP Round I,2025
4167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",416724210,Computer Science and Engineering,GOPENS,16266,95.3083376,,CAP Round I,2025
3204,"St. Francis Institute of Technology,Borivali, Mumbai",320424510,Computer Engineering,GOPENS,16904,95.1229826,,CAP Round I,2025
3214,"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai",321424510,Computer Engineering,GOPENS,16882,95.1229826,,CAP Round I,2025
6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune",617724510,Computer Engineering,GOPENH,19108,94.4922123,,CAP Round I,2025
3203,"Atharva College of Engineering,Malad(West),Mumbai",320324510,Computer Engineering,GOPENH,19703,94.294414,,CAP Round I,2025
3143,"Thakur Shyamnarayan Engineering College, Mumbai",314324510,Computer Engineering,GOPENH,19923,94.25259,,CAP Round I,2025
3189,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",318924510,Computer Engineering,GOPENH,20603,94.0,,CAP Round I,2025
3148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",314824510,Computer Engineering,GOPENS,20705,93.9899228,,CAP Round I,2025
6281,"Modern Education Society's Wadia College of Engineering, Pune",628124510,Computer Engineering,GOPENH,20846,93.9463602,,CAP Round I,2025
